protocol_family,path,t,price
continuous_argmax,continuous_argmax,0,1253.30004883
continuous_argmax,continuous_argmax,1,1218.2800293
continuous_argmax,continuous_argmax,2,1237.90002441
continuous_argmax,continuous_argmax,3,1261.15002441
continuous_argmax,continuous_argmax,4,1253.22998047
continuous_argmax,continuous_argmax,5,1261.11999512
continuous_argmax,continuous_argmax,6,1275.92004395
continuous_argmax,continuous_argmax,7,1229.09997559
continuous_argmax,continuous_argmax,8,1239.69995117
continuous_argmax,continuous_argmax,9,1263.84997559
continuous_argmax,continuous_argmax,10,1251.7800293
continuous_argmax,continuous_argmax,11,1257.81005859
continuous_argmax,continuous_argmax,12,1236.91003418
continuous_argmax,continuous_argmax,13,1216.13000488
continuous_argmax,continuous_argmax,14,1215.65002441
continuous_argmax,continuous_argmax,15,1192.97998047
continuous_argmax,continuous_argmax,16,1188.04003906
continuous_argmax,continuous_argmax,17,1161.79003906
continuous_argmax,continuous_argmax,18,1161.7900390625
continuous_argmax,continuous_argmax,19,1164.753662109375
continuous_argmax,continuous_argmax,20,1166.448486328125
continuous_argmax,continuous_argmax,21,1167.425048828125
continuous_argmax,continuous_argmax,22,1167.970703125
continuous_argmax,continuous_argmax,23,1168.2977294921875
continuous_argmax,continuous_argmax,24,1168.4931640625
continuous_argmax,continuous_argmax,25,1168.6112060546875
continuous_argmax,continuous_argmax,26,1168.6832275390625
continuous_argmax,continuous_argmax,27,1168.731689453125
continuous_argmax,continuous_argmax,28,1168.731689453125
continuous_argmax,continuous_argmax,29,1171.3056640625
continuous_argmax,continuous_argmax,30,1172.759033203125
continuous_argmax,continuous_argmax,31,1173.5687255859375
continuous_argmax,continuous_argmax,32,1174.036865234375
continuous_argmax,continuous_argmax,33,1174.3204345703125
continuous_argmax,continuous_argmax,34,1174.4874267578125
continuous_argmax,continuous_argmax,35,1174.587158203125
continuous_argmax,continuous_argmax,36,1174.6484375
continuous_argmax,continuous_argmax,37,1174.68212890625
continuous_argmax,continuous_argmax,38,1174.68212890625
continuous_argmax,continuous_argmax,39,1177.02880859375
continuous_argmax,continuous_argmax,40,1178.3519287109375
continuous_argmax,continuous_argmax,41,1179.102294921875
continuous_argmax,continuous_argmax,42,1179.533203125
continuous_argmax,continuous_argmax,43,1179.7857666015625
continuous_argmax,continuous_argmax,44,1179.933837890625
continuous_argmax,continuous_argmax,45,1180.0299072265625
continuous_argmax,continuous_argmax,46,1180.080322265625
continuous_argmax,continuous_argmax,47,1180.114501953125
continuous_argmax,continuous_argmax,48,1180.114501953125
continuous_argmax,continuous_argmax,49,1182.286376953125
continuous_argmax,continuous_argmax,50,1183.51025390625
continuous_argmax,continuous_argmax,51,1184.197998046875
continuous_argmax,continuous_argmax,52,1184.590576171875
continuous_argmax,continuous_argmax,53,1184.82421875
continuous_argmax,continuous_argmax,54,1184.960693359375
continuous_argmax,continuous_argmax,55,1185.0401611328125
continuous_argmax,continuous_argmax,56,1185.09228515625
continuous_argmax,continuous_argmax,57,1185.126708984375
continuous_argmax,continuous_argmax,58,1185.126708984375
continuous_argmax,continuous_argmax,59,1187.1473388671875
continuous_argmax,continuous_argmax,60,1188.2843017578125
continuous_argmax,continuous_argmax,61,1188.9332275390625
continuous_argmax,continuous_argmax,62,1189.2991943359375
continuous_argmax,continuous_argmax,63,1189.5206298828125
continuous_argmax,continuous_argmax,64,1189.6485595703125
continuous_argmax,continuous_argmax,65,1189.727783203125
continuous_argmax,continuous_argmax,66,1189.7706298828125
continuous_argmax,continuous_argmax,67,1189.8023681640625
continuous_argmax,continuous_argmax,68,1189.8023681640625
continuous_argmax,continuous_argmax,69,1191.6968994140625
continuous_argmax,continuous_argmax,70,1192.762939453125
continuous_argmax,continuous_argmax,71,1193.3646240234375
continuous_argmax,continuous_argmax,72,1193.7059326171875
continuous_argmax,continuous_argmax,73,1193.8167724609375
continuous_argmax,continuous_argmax,74,1193.9580078125
continuous_argmax,continuous_argmax,75,1194.014404296875
continuous_argmax,continuous_argmax,76,1194.0810546875
continuous_argmax,continuous_argmax,77,1194.134033203125
continuous_argmax,continuous_argmax,78,1194.134033203125
continuous_argmax,continuous_argmax,79,1195.917724609375
continuous_argmax,continuous_argmax,80,1196.9241943359375
continuous_argmax,continuous_argmax,81,1197.491943359375
continuous_argmax,continuous_argmax,82,1197.819580078125
continuous_argmax,continuous_argmax,83,1198.012451171875
continuous_argmax,continuous_argmax,84,1198.125
continuous_argmax,continuous_argmax,85,1198.1959228515625
continuous_argmax,continuous_argmax,86,1198.2374267578125
continuous_argmax,continuous_argmax,87,1198.265625
continuous_argmax,continuous_argmax,88,1198.265625
continuous_argmax,continuous_argmax,89,1199.952880859375
continuous_argmax,continuous_argmax,90,1200.9010009765625
