path,segment_idx,pattern,length,magnitude,protocol_family,block
continuous_argmax,0,0,18,114.1300048828125,continuous_argmax,
continuous_argmax,1,12,10,91.06990814208984,continuous_argmax,
continuous_argmax,2,0,10,79.68901824951172,continuous_argmax,
continuous_argmax,3,0,10,72.67359161376953,continuous_argmax,
continuous_argmax,4,0,10,67.23688507080078,continuous_argmax,
continuous_argmax,5,0,10,62.665504455566406,continuous_argmax,
continuous_argmax,6,0,10,58.684539794921875,continuous_argmax,
continuous_argmax,7,0,10,55.217742919921875,continuous_argmax,
continuous_argmax,8,0,10,52.198699951171875,continuous_argmax,
continuous_argmax,9,0,10,49.569583892822266,continuous_argmax,
continuous_argmax,10,0,10,47.28003692626953,continuous_argmax,
continuous_argmax,11,12,10,45.280967712402344,continuous_argmax,
continuous_argmax,12,12,10,43.6878662109375,continuous_argmax,
continuous_argmax,13,12,10,42.277557373046875,continuous_argmax,
continuous_argmax,14,12,10,41.02906799316406,continuous_argmax,
continuous_argmax,15,12,10,39.92383575439453,continuous_argmax,
continuous_argmax,16,12,10,38.94541931152344,continuous_argmax,
continuous_argmax,17,12,10,38.07926940917969,continuous_argmax,
continuous_argmax,18,12,10,37.3125,continuous_argmax,
continuous_argmax,19,12,10,36.63371276855469,continuous_argmax,
continuous_argmax,20,12,10,36.03281021118164,continuous_argmax,
continuous_argmax,21,12,10,35.5008544921875,continuous_argmax,
continuous_argmax,22,12,10,35.029937744140625,continuous_argmax,
continuous_argmax,23,12,10,34.61305236816406,continuous_argmax,
continuous_argmax,24,12,10,34.24400329589844,continuous_argmax,
continuous_argmax,25,12,10,33.91729736328125,continuous_argmax,
continuous_argmax,26,12,10,33.62807846069336,continuous_argmax,
continuous_argmax,27,12,10,33.372047424316406,continuous_argmax,
continuous_argmax,28,12,10,33.14539337158203,continuous_argmax,
continuous_argmax,29,12,10,32.94474411010742,continuous_argmax,
continuous_argmax,30,12,10,32.76711654663086,continuous_argmax,
continuous_argmax,31,12,10,32.60987091064453,continuous_argmax,
continuous_argmax,32,12,10,32.47066879272461,continuous_argmax,
continuous_argmax,33,12,10,32.34743881225586,continuous_argmax,
continuous_argmax,34,12,10,32.23834991455078,continuous_argmax,
continuous_argmax,35,12,10,32.14177703857422,continuous_argmax,
continuous_argmax,36,12,10,32.0562858581543,continuous_argmax,
continuous_argmax,37,12,10,31.980600357055664,continuous_argmax,
continuous_argmax,38,12,10,31.913599014282227,continuous_argmax,
continuous_argmax,39,12,10,31.854284286499023,continuous_argmax,
continuous_argmax,40,12,10,31.801776885986328,continuous_argmax,
continuous_argmax,41,12,10,31.755292892456055,continuous_argmax,
continuous_argmax,42,12,10,31.714143753051758,continuous_argmax,
continuous_argmax,43,12,10,31.677715301513672,continuous_argmax,
continuous_argmax,44,12,10,31.64546775817871,continuous_argmax,
