asset,protocol,t,price
goog,fixed_blocks_argmax,0,39.30699921
goog,fixed_blocks_argmax,1,39.34500122
goog,fixed_blocks_argmax,2,39.70100021
goog,fixed_blocks_argmax,3,40.30749893
goog,fixed_blocks_argmax,4,40.33250046
goog,fixed_blocks_argmax,5,40.23949814
goog,fixed_blocks_argmax,6,40.39550018
goog,fixed_blocks_argmax,7,40.31800079
goog,fixed_blocks_argmax,8,40.39400101
goog,fixed_blocks_argmax,9,40.23049927
goog,fixed_blocks_argmax,10,40.30350113
goog,fixed_blocks_argmax,11,40.10874939
goog,fixed_blocks_argmax,12,40.25099945
goog,fixed_blocks_argmax,13,40.96549988
goog,fixed_blocks_argmax,14,41.19350052
goog,fixed_blocks_argmax,15,41.78350067
goog,fixed_blocks_argmax,16,41.78350067138672
goog,fixed_blocks_argmax,17,41.817989349365234
goog,fixed_blocks_argmax,18,41.8320198059082
goog,fixed_blocks_argmax,19,41.8379020690918
goog,fixed_blocks_argmax,20,41.837406158447266
goog,fixed_blocks_argmax,21,41.83535385131836
goog,fixed_blocks_argmax,22,41.83526611328125
goog,fixed_blocks_argmax,23,41.826622009277344
goog,fixed_blocks_argmax,24,41.82952880859375
goog,fixed_blocks_argmax,25,41.8331413269043
goog,fixed_blocks_argmax,26,41.8331413269043
goog,fixed_blocks_argmax,27,41.85373306274414
goog,fixed_blocks_argmax,28,41.86076354980469
goog,fixed_blocks_argmax,29,41.85697555541992
goog,fixed_blocks_argmax,30,41.85832214355469
goog,fixed_blocks_argmax,31,41.85847854614258
goog,fixed_blocks_argmax,32,41.86027145385742
goog,fixed_blocks_argmax,33,41.8614387512207
goog,fixed_blocks_argmax,34,41.86183166503906
goog,fixed_blocks_argmax,35,41.861907958984375
goog,fixed_blocks_argmax,36,41.861907958984375
goog,fixed_blocks_argmax,37,41.90717315673828
goog,fixed_blocks_argmax,38,41.925193786621094
goog,fixed_blocks_argmax,39,41.931556701660156
goog,fixed_blocks_argmax,40,41.931907653808594
goog,fixed_blocks_argmax,41,41.9321403503418
goog,fixed_blocks_argmax,42,41.91770935058594
goog,fixed_blocks_argmax,43,41.92314147949219
goog,fixed_blocks_argmax,44,41.92739486694336
goog,fixed_blocks_argmax,45,41.9289665222168
goog,fixed_blocks_argmax,46,41.9289665222168
goog,fixed_blocks_argmax,47,41.979496002197266
goog,fixed_blocks_argmax,48,41.99660873413086
goog,fixed_blocks_argmax,49,42.00089645385742
goog,fixed_blocks_argmax,50,42.002197265625
goog,fixed_blocks_argmax,51,42.0006217956543
goog,fixed_blocks_argmax,52,41.99872970581055
goog,fixed_blocks_argmax,53,41.987117767333984
goog,fixed_blocks_argmax,54,41.98889923095703
goog,fixed_blocks_argmax,55,41.994598388671875
goog,fixed_blocks_argmax,56,41.994598388671875
goog,fixed_blocks_argmax,57,42.04375457763672
goog,fixed_blocks_argmax,58,42.05894088745117
goog,fixed_blocks_argmax,59,42.06611633300781
goog,fixed_blocks_argmax,60,42.058048248291016
goog,fixed_blocks_argmax,61,42.06150436401367
goog,fixed_blocks_argmax,62,42.06446075439453
goog,fixed_blocks_argmax,63,42.064388275146484
goog,fixed_blocks_argmax,64,42.06460189819336
goog,fixed_blocks_argmax,65,42.06596755981445
goog,fixed_blocks_argmax,66,42.06596755981445
goog,fixed_blocks_argmax,67,42.117130279541016
goog,fixed_blocks_argmax,68,42.13356399536133
goog,fixed_blocks_argmax,69,42.13797378540039
goog,fixed_blocks_argmax,70,42.13520050048828
goog,fixed_blocks_argmax,71,42.093467712402344
goog,fixed_blocks_argmax,72,42.1084098815918
goog,fixed_blocks_argmax,73,42.08177947998047
goog,fixed_blocks_argmax,74,42.10496520996094
goog,fixed_blocks_argmax,75,42.124210357666016
goog,fixed_blocks_argmax,76,42.124210357666016
goog,fixed_blocks_argmax,77,42.17182922363281
goog,fixed_blocks_argmax,78,42.19065475463867
goog,fixed_blocks_argmax,79,42.19780731201172
goog,fixed_blocks_argmax,80,42.19916915893555
goog,fixed_blocks_argmax,81,42.19907760620117
goog,fixed_blocks_argmax,82,42.19915008544922
goog,fixed_blocks_argmax,83,42.199134826660156
goog,fixed_blocks_argmax,84,42.20009231567383
goog,fixed_blocks_argmax,85,42.20038604736328
goog,fixed_blocks_argmax,86,42.20038604736328
goog,fixed_blocks_argmax,87,42.25249099731445
goog,fixed_blocks_argmax,88,42.2692985534668
goog,fixed_blocks_argmax,89,42.2739143371582
goog,fixed_blocks_argmax,90,42.26663589477539
goog,fixed_blocks_argmax,91,42.269126892089844
